Tick,Step,DateTime,AgentReturningForItem,Aggression,DelayTime,Empathy,EvacueeHasStartedMoving,ForgotAnItem,FoundDistressedAgent,FoundHelp,Health,Helping,IsConscious,IsLeader,LeaderHasReachedExit,Leadership,Mobility,ReachedDistressedAgent,ReturningWithGroupForItem,ReturningWithGroupToHelp,RiskLevel,Strength,X,Y,ID
0,0,2023-10-20T19:32:34.9059220+02:00,False,2,0,0.4514278321113102,False,False,False,False,59,False,True,False,False,0.8067421039624716,2,False,False,False,1,0.942624967476446,68,48,d16c72dc-2ad7-4684-a735-c36f4466a3ef
0,0,2023-10-20T19:32:34.9059220+02:00,False,2,0,0.2435332853311546,False,False,False,False,67,False,True,False,False,0.08287080306845429,2,False,False,False,4,0.5595616832448308,86,11,279e69de-d616-478f-a7a3-7cabf12c01b9
1,1,2023-10-20T19:32:35.9059220+02:00,False,2,0,0.4514278321113102,False,False,False,False,59,False,True,False,False,0.8067421039624716,2,False,False,False,1,0.942624967476446,68,48,d16c72dc-2ad7-4684-a735-c36f4466a3ef
1,1,2023-10-20T19:32:35.9059220+02:00,False,2,0,0.2435332853311546,False,False,False,False,67,False,True,False,False,0.08287080306845429,2,False,False,False,4,0.5595616832448308,86,11,279e69de-d616-478f-a7a3-7cabf12c01b9
2,2,2023-10-20T19:32:36.9059220+02:00,False,2,0,0.4514278321113102,True,False,False,False,59,False,True,True,False,0.8067421039624716,2,False,False,False,1,0.942624967476446,68,48,d16c72dc-2ad7-4684-a735-c36f4466a3ef
2,2,2023-10-20T19:32:36.9059220+02:00,False,2,0,0.2435332853311546,False,False,False,False,67,False,True,False,False,0.08287080306845429,2,False,False,False,4,0.5595616832448308,86,11,279e69de-d616-478f-a7a3-7cabf12c01b9
3,3,2023-10-20T19:32:37.9059220+02:00,False,2,0,0.4514278321113102,True,False,False,False,59,False,True,True,False,0.8067421039624716,2,False,False,False,1,0.942624967476446,68,48,d16c72dc-2ad7-4684-a735-c36f4466a3ef
3,3,2023-10-20T19:32:37.9059220+02:00,False,2,0,0.2435332853311546,False,False,False,False,67,False,True,False,False,0.08287080306845429,2,False,False,False,4,0.5595616832448308,86,11,279e69de-d616-478f-a7a3-7cabf12c01b9
4,4,2023-10-20T19:32:38.9059220+02:00,False,2,0,0.4514278321113102,True,False,False,False,59,False,True,True,False,0.8067421039624716,2,False,False,False,1,0.942624967476446,68,48,d16c72dc-2ad7-4684-a735-c36f4466a3ef
4,4,2023-10-20T19:32:38.9059220+02:00,False,2,0,0.2435332853311546,False,False,False,False,67,False,True,False,False,0.08287080306845429,2,False,False,False,4,0.5595616832448308,86,11,279e69de-d616-478f-a7a3-7cabf12c01b9
5,5,2023-10-20T19:32:39.9059220+02:00,False,2,0,0.4514278321113102,True,False,False,False,59,False,True,True,False,0.8067421039624716,2,False,False,False,1,0.942624967476446,68,48,d16c72dc-2ad7-4684-a735-c36f4466a3ef
5,5,2023-10-20T19:32:39.9059220+02:00,False,2,0,0.2435332853311546,True,False,False,False,67,False,True,False,False,0.08287080306845429,2,False,False,False,4,0.5595616832448308,86,11,279e69de-d616-478f-a7a3-7cabf12c01b9
6,6,2023-10-20T19:32:40.9059220+02:00,False,2,0,0.4514278321113102,True,False,False,False,59,False,True,True,False,0.8067421039624716,2,False,False,False,1,0.942624967476446,69,47,d16c72dc-2ad7-4684-a735-c36f4466a3ef
6,6,2023-10-20T19:32:40.9059220+02:00,False,2,0,0.2435332853311546,True,False,False,False,67,False,True,False,False,0.08287080306845429,2,False,False,False,4,0.5595616832448308,86,11,279e69de-d616-478f-a7a3-7cabf12c01b9
7,7,2023-10-20T19:32:41.9059220+02:00,False,2,0,0.4514278321113102,True,False,False,False,59,False,True,True,False,0.8067421039624716,2,False,False,False,1,0.942624967476446,69,47,d16c72dc-2ad7-4684-a735-c36f4466a3ef
7,7,2023-10-20T19:32:41.9059220+02:00,False,2,0,0.2435332853311546,True,False,False,False,67,False,True,False,False,0.08287080306845429,2,False,False,False,4,0.5595616832448308,86,11,279e69de-d616-478f-a7a3-7cabf12c01b9
8,8,2023-10-20T19:32:42.9059220+02:00,False,2,0,0.4514278321113102,True,False,False,False,59,False,True,True,False,0.8067421039624716,2,False,False,False,1,0.942624967476446,68,46,d16c72dc-2ad7-4684-a735-c36f4466a3ef
8,8,2023-10-20T19:32:42.9059220+02:00,False,2,0,0.2435332853311546,True,False,False,False,67,False,True,False,False,0.08287080306845429,2,False,False,False,4,0.5595616832448308,85,10,279e69de-d616-478f-a7a3-7cabf12c01b9
9,9,2023-10-20T19:32:43.9059220+02:00,False,2,0,0.4514278321113102,True,False,False,False,59,False,True,True,False,0.8067421039624716,2,False,False,False,1,0.942624967476446,68,46,d16c72dc-2ad7-4684-a735-c36f4466a3ef
9,9,2023-10-20T19:32:43.9059220+02:00,False,2,0,0.2435332853311546,True,False,False,False,67,False,True,False,False,0.08287080306845429,2,False,False,False,4,0.5595616832448308,85,10,279e69de-d616-478f-a7a3-7cabf12c01b9
10,10,2023-10-20T19:32:44.9059220+02:00,False,2,0,0.4514278321113102,True,False,False,False,59,False,True,True,False,0.8067421039624716,2,False,False,False,1,0.942624967476446,68,45,d16c72dc-2ad7-4684-a735-c36f4466a3ef
10,10,2023-10-20T19:32:44.9059220+02:00,False,2,0,0.2435332853311546,True,False,False,False,67,False,True,False,False,0.08287080306845429,2,False,False,False,4,0.5595616832448308,84,9,279e69de-d616-478f-a7a3-7cabf12c01b9
