Tick,Step,DateTime,MaxTripDistance,X,Y,ID
0,0,2022-03-01T05:00:00.0000000,0,87,55,290099e8-9387-41c2-9650-f31bd47d1c0e
0,0,2022-03-01T05:00:00.0000000,0,71,71,f8e63139-3343-4634-9f4a-917a9b8070ae
0,0,2022-03-01T05:00:00.0000000,0,50,29,b7245b13-0701-4711-adb8-bef67bfce6b9
1,1,2022-03-01T05:00:01.0000000,0,87,55,290099e8-9387-41c2-9650-f31bd47d1c0e
1,1,2022-03-01T05:00:01.0000000,0,71,71,f8e63139-3343-4634-9f4a-917a9b8070ae
1,1,2022-03-01T05:00:01.0000000,0,50,29,b7245b13-0701-4711-adb8-bef67bfce6b9
2,2,2022-03-01T05:00:02.0000000,0,86,54,290099e8-9387-41c2-9650-f31bd47d1c0e
2,2,2022-03-01T05:00:02.0000000,0,70,72,f8e63139-3343-4634-9f4a-917a9b8070ae
