Tick,Step,DateTime,AgentReturningForItem,Aggression,DelayTime,Empathy,EvacueeHasStartedMoving,ForgotAnItem,FoundDistressedAgent,FoundHelp,Health,Helping,IsConscious,IsLeader,LeaderHasReachedExit,Leadership,Mobility,ReachedDistressedAgent,ReturningWithGroupForItem,ReturningWithGroupToHelp,RiskLevel,Strength,X,Y,ID
0,0,2023-10-20T19:32:34.9059220+02:00,False,2,0,0.9506594579180784,False,False,False,False,56,False,True,False,False,0.72693492065555,2,False,False,False,6,0.8656130255138194,45,69,9b5a6fea-a92e-4644-ba99-5bd1be8c36b2
0,0,2023-10-20T19:32:34.9059220+02:00,False,2,0,0.9455479451766422,False,False,False,False,70,False,True,False,False,0.06931913756885355,2,False,False,False,8,0.44412643398959883,48,82,c391e301-b34b-4e8c-a697-f053c3169882
1,1,2023-10-20T19:32:35.9059220+02:00,False,2,0,0.9506594579180784,True,False,False,False,56,False,True,False,False,0.72693492065555,2,False,False,False,6,0.8656130255138194,45,69,9b5a6fea-a92e-4644-ba99-5bd1be8c36b2
1,1,2023-10-20T19:32:35.9059220+02:00,False,2,0,0.9455479451766422,True,False,False,False,70,False,True,False,False,0.06931913756885355,2,False,False,False,8,0.44412643398959883,48,82,c391e301-b34b-4e8c-a697-f053c3169882
2,2,2023-10-20T19:32:36.9059220+02:00,False,2,0,0.9506594579180784,True,False,False,False,56,False,True,False,False,0.72693492065555,2,False,False,False,6,0.8656130255138194,45,69,9b5a6fea-a92e-4644-ba99-5bd1be8c36b2
2,2,2023-10-20T19:32:36.9059220+02:00,False,2,0,0.9455479451766422,True,False,False,False,70,False,True,False,False,0.06931913756885355,2,False,False,False,8,0.44412643398959883,48,82,c391e301-b34b-4e8c-a697-f053c3169882
3,3,2023-10-20T19:32:37.9059220+02:00,False,2,0,0.9506594579180784,True,False,False,False,56,False,True,False,False,0.72693492065555,2,False,False,False,6,0.8656130255138194,45,69,9b5a6fea-a92e-4644-ba99-5bd1be8c36b2
3,3,2023-10-20T19:32:37.9059220+02:00,False,2,0,0.9455479451766422,True,False,False,False,70,False,True,False,False,0.06931913756885355,2,False,False,False,8,0.44412643398959883,48,82,c391e301-b34b-4e8c-a697-f053c3169882
4,4,2023-10-20T19:32:38.9059220+02:00,False,2,0,0.9506594579180784,True,False,False,False,56,False,True,False,False,0.72693492065555,2,False,False,False,6,0.8656130255138194,46,69,9b5a6fea-a92e-4644-ba99-5bd1be8c36b2
4,4,2023-10-20T19:32:38.9059220+02:00,False,2,0,0.9455479451766422,True,False,False,False,70,False,True,False,False,0.06931913756885355,2,False,False,False,8,0.44412643398959883,49,81,c391e301-b34b-4e8c-a697-f053c3169882
