Tick,Step,DateTime,MaxTripDistance,X,Y,ID
0,0,2022-03-01T05:00:00.0000000,0,71,7,1f8b76fc-0a87-4ad8-8eda-0e0ff8a0b5dc
0,0,2022-03-01T05:00:00.0000000,0,23,49,b54d7e40-bdcd-4e82-8f71-e97e8dffd42e
0,0,2022-03-01T05:00:00.0000000,0,7,80,19354833-99d6-4298-ac06-e2c06f7ed3a4
1,1,2022-03-01T05:00:01.0000000,0,72,6,1f8b76fc-0a87-4ad8-8eda-0e0ff8a0b5dc
1,1,2022-03-01T05:00:01.0000000,0,23,49,b54d7e40-bdcd-4e82-8f71-e97e8dffd42e
1,1,2022-03-01T05:00:01.0000000,0,7,80,19354833-99d6-4298-ac06-e2c06f7ed3a4
2,2,2022-03-01T05:00:02.0000000,0,72,6,1f8b76fc-0a87-4ad8-8eda-0e0ff8a0b5dc
2,2,2022-03-01T05:00:02.0000000,0,24,49,b54d7e40-bdcd-4e82-8f71-e97e8dffd42e
2,2,2022-03-01T05:00:02.0000000,0,8,80,19354833-99d6-4298-ac06-e2c06f7ed3a4
3,3,2022-03-01T05:00:03.0000000,0,72,6,1f8b76fc-0a87-4ad8-8eda-0e0ff8a0b5dc
4,4,2022-03-01T05:00:04.0000000,0,72,6,1f8b76fc-0a87-4ad8-8eda-0e0ff8a0b5dc
5,5,2022-03-01T05:00:05.0000000,0,72,6,1f8b76fc-0a87-4ad8-8eda-0e0ff8a0b5dc
6,6,2022-03-01T05:00:06.0000000,0,72,6,1f8b76fc-0a87-4ad8-8eda-0e0ff8a0b5dc
