Tick,Step,DateTime,MaxTripDistance,X,Y,ID
0,0,2022-03-01T05:00:00.0000000,0,56,76,44c7b68f-e826-41c7-b52b-751a51e34e5f
0,0,2022-03-01T05:00:00.0000000,0,42,84,c96b042b-c01f-4c3b-91fc-1688eaffc3b1
0,0,2022-03-01T05:00:00.0000000,0,86,72,d134ce65-e343-4cce-9fc4-d23c35b3e848
0,0,2022-03-01T05:00:00.0000000,0,117,75,3c374b61-e018-41ca-bc3f-e33fa0339ed5
0,0,2022-03-01T05:00:00.0000000,0,63,48,0fa074d2-17e6-456b-96e7-765c14fdb15e
0,0,2022-03-01T05:00:00.0000000,0,73,30,8b47b67e-d52a-492a-b312-1c2aae8c4e9f
1,1,2022-03-01T05:00:01.0000000,0,56,76,44c7b68f-e826-41c7-b52b-751a51e34e5f
1,1,2022-03-01T05:00:01.0000000,0,42,84,c96b042b-c01f-4c3b-91fc-1688eaffc3b1
1,1,2022-03-01T05:00:01.0000000,0,86,72,d134ce65-e343-4cce-9fc4-d23c35b3e848
1,1,2022-03-01T05:00:01.0000000,0,117,75,3c374b61-e018-41ca-bc3f-e33fa0339ed5
1,1,2022-03-01T05:00:01.0000000,0,63,48,0fa074d2-17e6-456b-96e7-765c14fdb15e
1,1,2022-03-01T05:00:01.0000000,0,73,30,8b47b67e-d52a-492a-b312-1c2aae8c4e9f
2,2,2022-03-01T05:00:02.0000000,0,85,73,d134ce65-e343-4cce-9fc4-d23c35b3e848
