Tick,Step,DateTime,MaxTripDistance,X,Y,ID
0,0,2022-03-01T05:00:00.0000000,0,63,55,c0107181-db55-47d3-9d13-b38114e8f9cd
0,0,2022-03-01T05:00:00.0000000,0,62,29,b6338f8b-3150-4ff8-afec-995b9d4f3b7d
0,0,2022-03-01T05:00:00.0000000,0,78,33,7261dfd1-fe73-441c-9d5e-638c10879d8f
0,0,2022-03-01T05:00:00.0000000,0,118,24,ae73f349-9363-47da-a7b5-b6387169b835
0,0,2022-03-01T05:00:00.0000000,0,36,81,0060a1df-a421-4164-92fa-c75d4653ceaa
0,0,2022-03-01T05:00:00.0000000,0,87,3,ebc5d574-edd6-41eb-b8b5-784cb017fe96
0,0,2022-03-01T05:00:00.0000000,0,57,77,46bcc10e-8c27-44da-850f-5cc11d90404d
0,0,2022-03-01T05:00:00.0000000,0,78,17,31e58e5f-b08b-49fd-9c50-990c1aaed4db
0,0,2022-03-01T05:00:00.0000000,0,49,78,b49da9c7-344c-4611-9426-0efbeeeb2255
1,1,2022-03-01T05:00:01.0000000,0,63,55,c0107181-db55-47d3-9d13-b38114e8f9cd
1,1,2022-03-01T05:00:01.0000000,0,62,29,b6338f8b-3150-4ff8-afec-995b9d4f3b7d
1,1,2022-03-01T05:00:01.0000000,0,78,32,7261dfd1-fe73-441c-9d5e-638c10879d8f
1,1,2022-03-01T05:00:01.0000000,0,118,24,ae73f349-9363-47da-a7b5-b6387169b835
1,1,2022-03-01T05:00:01.0000000,0,36,81,0060a1df-a421-4164-92fa-c75d4653ceaa
1,1,2022-03-01T05:00:01.0000000,0,87,3,ebc5d574-edd6-41eb-b8b5-784cb017fe96
1,1,2022-03-01T05:00:01.0000000,0,57,77,46bcc10e-8c27-44da-850f-5cc11d90404d
1,1,2022-03-01T05:00:01.0000000,0,78,17,31e58e5f-b08b-49fd-9c50-990c1aaed4db
1,1,2022-03-01T05:00:01.0000000,0,49,78,b49da9c7-344c-4611-9426-0efbeeeb2255
2,2,2022-03-01T05:00:02.0000000,0,62,56,c0107181-db55-47d3-9d13-b38114e8f9cd
2,2,2022-03-01T05:00:02.0000000,0,78,32,7261dfd1-fe73-441c-9d5e-638c10879d8f
2,2,2022-03-01T05:00:02.0000000,0,37,80,0060a1df-a421-4164-92fa-c75d4653ceaa
2,2,2022-03-01T05:00:02.0000000,0,49,78,b49da9c7-344c-4611-9426-0efbeeeb2255
3,3,2022-03-01T05:00:03.0000000,0,78,32,7261dfd1-fe73-441c-9d5e-638c10879d8f
4,4,2022-03-01T05:00:04.0000000,0,78,32,7261dfd1-fe73-441c-9d5e-638c10879d8f
5,5,2022-03-01T05:00:05.0000000,0,78,32,7261dfd1-fe73-441c-9d5e-638c10879d8f
6,6,2022-03-01T05:00:06.0000000,0,78,32,7261dfd1-fe73-441c-9d5e-638c10879d8f
7,7,2022-03-01T05:00:07.0000000,0,78,32,7261dfd1-fe73-441c-9d5e-638c10879d8f
