Tick,Step,DateTime,MaxTripDistance,X,Y,ID
0,0,2022-03-01T05:00:00.0000000,0,75,46,465b298a-46bd-4036-b822-15b25c6737af
0,0,2022-03-01T05:00:00.0000000,0,53,30,16dc2a7c-c39b-401f-9603-c1fc4b8b0900
1,1,2022-03-01T05:00:01.0000000,0,75,46,465b298a-46bd-4036-b822-15b25c6737af
1,1,2022-03-01T05:00:01.0000000,0,53,30,16dc2a7c-c39b-401f-9603-c1fc4b8b0900
2,2,2022-03-01T05:00:02.0000000,0,53,30,16dc2a7c-c39b-401f-9603-c1fc4b8b0900
3,3,2022-03-01T05:00:03.0000000,0,53,30,16dc2a7c-c39b-401f-9603-c1fc4b8b0900
4,4,2022-03-01T05:00:04.0000000,0,53,30,16dc2a7c-c39b-401f-9603-c1fc4b8b0900
5,5,2022-03-01T05:00:05.0000000,0,53,30,16dc2a7c-c39b-401f-9603-c1fc4b8b0900
6,6,2022-03-01T05:00:06.0000000,0,53,30,16dc2a7c-c39b-401f-9603-c1fc4b8b0900
