Tick,Step,DateTime,MaxTripDistance,X,Y,ID
0,0,2022-03-01T05:00:00.0000000,0,65,37,5b6e57de-7d75-439f-841f-c8d30489cd38
0,0,2022-03-01T05:00:00.0000000,0,103,29,8970dbfa-34c3-44e9-9ae0-068ac0187b4c
0,0,2022-03-01T05:00:00.0000000,0,103,66,b1260b0c-6eb6-4e68-ab77-12c9edd77fe8
0,0,2022-03-01T05:00:00.0000000,0,85,18,469ed191-15d0-4cc3-9057-8193d5a9ebed
0,0,2022-03-01T05:00:00.0000000,0,67,51,f9234d7e-4657-4c06-9c8f-fde224e97965
0,0,2022-03-01T05:00:00.0000000,0,72,26,bae62bfd-ae31-4569-9423-8d41faff70a7
0,0,2022-03-01T05:00:00.0000000,0,36,80,c3a67b90-b4b1-4446-a63d-8731c9847e35
1,1,2022-03-01T05:00:01.0000000,0,65,37,5b6e57de-7d75-439f-841f-c8d30489cd38
1,1,2022-03-01T05:00:01.0000000,0,103,29,8970dbfa-34c3-44e9-9ae0-068ac0187b4c
1,1,2022-03-01T05:00:01.0000000,0,103,66,b1260b0c-6eb6-4e68-ab77-12c9edd77fe8
1,1,2022-03-01T05:00:01.0000000,0,85,18,469ed191-15d0-4cc3-9057-8193d5a9ebed
1,1,2022-03-01T05:00:01.0000000,0,67,51,f9234d7e-4657-4c06-9c8f-fde224e97965
1,1,2022-03-01T05:00:01.0000000,0,72,26,bae62bfd-ae31-4569-9423-8d41faff70a7
1,1,2022-03-01T05:00:01.0000000,0,36,80,c3a67b90-b4b1-4446-a63d-8731c9847e35
2,2,2022-03-01T05:00:02.0000000,0,64,36,5b6e57de-7d75-439f-841f-c8d30489cd38
2,2,2022-03-01T05:00:02.0000000,0,102,30,8970dbfa-34c3-44e9-9ae0-068ac0187b4c
2,2,2022-03-01T05:00:02.0000000,0,102,65,b1260b0c-6eb6-4e68-ab77-12c9edd77fe8
2,2,2022-03-01T05:00:02.0000000,0,84,18,469ed191-15d0-4cc3-9057-8193d5a9ebed
2,2,2022-03-01T05:00:02.0000000,0,66,50,f9234d7e-4657-4c06-9c8f-fde224e97965
2,2,2022-03-01T05:00:02.0000000,0,73,27,bae62bfd-ae31-4569-9423-8d41faff70a7
2,2,2022-03-01T05:00:02.0000000,0,36,80,c3a67b90-b4b1-4446-a63d-8731c9847e35
3,3,2022-03-01T05:00:03.0000000,0,65,36,5b6e57de-7d75-439f-841f-c8d30489cd38
3,3,2022-03-01T05:00:03.0000000,0,101,30,8970dbfa-34c3-44e9-9ae0-068ac0187b4c
3,3,2022-03-01T05:00:03.0000000,0,103,65,b1260b0c-6eb6-4e68-ab77-12c9edd77fe8
3,3,2022-03-01T05:00:03.0000000,0,83,18,469ed191-15d0-4cc3-9057-8193d5a9ebed
3,3,2022-03-01T05:00:03.0000000,0,65,51,f9234d7e-4657-4c06-9c8f-fde224e97965
3,3,2022-03-01T05:00:03.0000000,0,74,27,bae62bfd-ae31-4569-9423-8d41faff70a7
3,3,2022-03-01T05:00:03.0000000,0,36,80,c3a67b90-b4b1-4446-a63d-8731c9847e35
4,4,2022-03-01T05:00:04.0000000,0,64,35,5b6e57de-7d75-439f-841f-c8d30489cd38
4,4,2022-03-01T05:00:04.0000000,0,100,30,8970dbfa-34c3-44e9-9ae0-068ac0187b4c
4,4,2022-03-01T05:00:04.0000000,0,104,65,b1260b0c-6eb6-4e68-ab77-12c9edd77fe8
4,4,2022-03-01T05:00:04.0000000,0,82,18,469ed191-15d0-4cc3-9057-8193d5a9ebed
4,4,2022-03-01T05:00:04.0000000,0,64,52,f9234d7e-4657-4c06-9c8f-fde224e97965
4,4,2022-03-01T05:00:04.0000000,0,75,27,bae62bfd-ae31-4569-9423-8d41faff70a7
4,4,2022-03-01T05:00:04.0000000,0,36,80,c3a67b90-b4b1-4446-a63d-8731c9847e35
5,5,2022-03-01T05:00:05.0000000,0,65,34,5b6e57de-7d75-439f-841f-c8d30489cd38
5,5,2022-03-01T05:00:05.0000000,0,99,30,8970dbfa-34c3-44e9-9ae0-068ac0187b4c
5,5,2022-03-01T05:00:05.0000000,0,105,65,b1260b0c-6eb6-4e68-ab77-12c9edd77fe8
5,5,2022-03-01T05:00:05.0000000,0,81,18,469ed191-15d0-4cc3-9057-8193d5a9ebed
5,5,2022-03-01T05:00:05.0000000,0,63,53,f9234d7e-4657-4c06-9c8f-fde224e97965
5,5,2022-03-01T05:00:05.0000000,0,76,27,bae62bfd-ae31-4569-9423-8d41faff70a7
5,5,2022-03-01T05:00:05.0000000,0,36,80,c3a67b90-b4b1-4446-a63d-8731c9847e35
6,6,2022-03-01T05:00:06.0000000,0,65,33,5b6e57de-7d75-439f-841f-c8d30489cd38
6,6,2022-03-01T05:00:06.0000000,0,98,30,8970dbfa-34c3-44e9-9ae0-068ac0187b4c
6,6,2022-03-01T05:00:06.0000000,0,106,65,b1260b0c-6eb6-4e68-ab77-12c9edd77fe8
6,6,2022-03-01T05:00:06.0000000,0,80,18,469ed191-15d0-4cc3-9057-8193d5a9ebed
6,6,2022-03-01T05:00:06.0000000,0,62,54,f9234d7e-4657-4c06-9c8f-fde224e97965
