Tick,Step,DateTime,AgentReturningForItem,Aggression,DelayTime,Empathy,EvacueeHasStartedMoving,ForgotAnItem,FoundDistressedAgent,FoundHelp,Health,Helping,IsConscious,IsLeader,LeaderHasReachedExit,Leadership,Mobility,ReachedDistressedAgent,ReturningWithGroupForItem,ReturningWithGroupToHelp,RiskLevel,Strength,X,Y,ID
0,0,2023-10-20T19:32:34.9059220+02:00,False,0,0,0.7518010872202348,False,False,False,False,81,False,True,False,False,0.4398776872782961,1,False,False,False,10,0.9838071604625787,75,41,9b041f44-8af0-4dd5-add1-1b3c733c0e68
1,1,2023-10-20T19:32:35.9059220+02:00,False,0,0,0.7518010872202348,False,False,False,False,81,False,True,False,False,0.4398776872782961,1,False,False,False,10,0.9838071604625787,75,41,9b041f44-8af0-4dd5-add1-1b3c733c0e68
2,2,2023-10-20T19:32:36.9059220+02:00,False,0,0,0.7518010872202348,False,False,False,False,81,False,True,False,False,0.4398776872782961,1,False,False,False,10,0.9838071604625787,75,41,9b041f44-8af0-4dd5-add1-1b3c733c0e68
3,3,2023-10-20T19:32:37.9059220+02:00,False,0,0,0.7518010872202348,False,False,False,False,81,False,True,False,False,0.4398776872782961,1,False,False,False,10,0.9838071604625787,75,41,9b041f44-8af0-4dd5-add1-1b3c733c0e68
4,4,2023-10-20T19:32:38.9059220+02:00,False,0,0,0.7518010872202348,False,False,False,False,81,False,True,False,False,0.4398776872782961,1,False,False,False,10,0.9838071604625787,75,41,9b041f44-8af0-4dd5-add1-1b3c733c0e68
5,5,2023-10-20T19:32:39.9059220+02:00,False,0,0,0.7518010872202348,False,False,False,False,81,False,True,False,False,0.4398776872782961,1,False,False,False,10,0.9838071604625787,75,41,9b041f44-8af0-4dd5-add1-1b3c733c0e68
6,6,2023-10-20T19:32:40.9059220+02:00,False,0,0,0.7518010872202348,False,False,False,False,81,False,True,False,False,0.4398776872782961,1,False,False,False,10,0.9838071604625787,75,41,9b041f44-8af0-4dd5-add1-1b3c733c0e68
7,7,2023-10-20T19:32:41.9059220+02:00,False,0,0,0.7518010872202348,False,False,False,False,81,False,True,False,False,0.4398776872782961,1,False,False,False,10,0.9838071604625787,75,41,9b041f44-8af0-4dd5-add1-1b3c733c0e68
8,8,2023-10-20T19:32:42.9059220+02:00,False,0,0,0.7518010872202348,False,False,False,False,81,False,True,False,False,0.4398776872782961,1,False,False,False,10,0.9838071604625787,75,41,9b041f44-8af0-4dd5-add1-1b3c733c0e68
9,9,2023-10-20T19:32:43.9059220+02:00,False,0,0,0.7518010872202348,False,False,False,False,81,False,True,False,False,0.4398776872782961,1,False,False,False,10,0.9838071604625787,75,41,9b041f44-8af0-4dd5-add1-1b3c733c0e68
