Tick,Step,DateTime,MaxTripDistance,X,Y,ID
0,0,2022-03-01T05:00:00.0000000,0,108,61,30c51792-291c-4a43-a6c1-9023022e35d5
0,0,2022-03-01T05:00:00.0000000,0,70,81,4d4eccc8-b120-4eda-a576-ab5782f588d1
0,0,2022-03-01T05:00:00.0000000,0,89,48,4a609aa3-4229-4646-a52c-0d4337097ffa
0,0,2022-03-01T05:00:00.0000000,0,102,29,b256db3c-9e37-49a3-bd6f-3f74b818b70c
0,0,2022-03-01T05:00:00.0000000,0,113,10,7651b0ef-3ac5-4bc5-a1ea-bb57b5880a0f
0,0,2022-03-01T05:00:00.0000000,0,39,48,bc724b8a-ebbb-42d0-8491-6e6988fd5db8
0,0,2022-03-01T05:00:00.0000000,0,47,68,6c26cc3b-0a89-4fa2-8ea5-9e184c60065c
1,1,2022-03-01T05:00:01.0000000,0,108,61,30c51792-291c-4a43-a6c1-9023022e35d5
1,1,2022-03-01T05:00:01.0000000,0,70,81,4d4eccc8-b120-4eda-a576-ab5782f588d1
1,1,2022-03-01T05:00:01.0000000,0,89,47,4a609aa3-4229-4646-a52c-0d4337097ffa
1,1,2022-03-01T05:00:01.0000000,0,102,29,b256db3c-9e37-49a3-bd6f-3f74b818b70c
1,1,2022-03-01T05:00:01.0000000,0,113,10,7651b0ef-3ac5-4bc5-a1ea-bb57b5880a0f
1,1,2022-03-01T05:00:01.0000000,0,38,48,bc724b8a-ebbb-42d0-8491-6e6988fd5db8
1,1,2022-03-01T05:00:01.0000000,0,47,68,6c26cc3b-0a89-4fa2-8ea5-9e184c60065c
2,2,2022-03-01T05:00:02.0000000,0,108,61,30c51792-291c-4a43-a6c1-9023022e35d5
2,2,2022-03-01T05:00:02.0000000,0,69,80,4d4eccc8-b120-4eda-a576-ab5782f588d1
2,2,2022-03-01T05:00:02.0000000,0,89,47,4a609aa3-4229-4646-a52c-0d4337097ffa
2,2,2022-03-01T05:00:02.0000000,0,102,29,b256db3c-9e37-49a3-bd6f-3f74b818b70c
2,2,2022-03-01T05:00:02.0000000,0,113,9,7651b0ef-3ac5-4bc5-a1ea-bb57b5880a0f
2,2,2022-03-01T05:00:02.0000000,0,38,48,bc724b8a-ebbb-42d0-8491-6e6988fd5db8
2,2,2022-03-01T05:00:02.0000000,0,48,69,6c26cc3b-0a89-4fa2-8ea5-9e184c60065c
3,3,2022-03-01T05:00:03.0000000,0,108,61,30c51792-291c-4a43-a6c1-9023022e35d5
3,3,2022-03-01T05:00:03.0000000,0,68,79,4d4eccc8-b120-4eda-a576-ab5782f588d1
3,3,2022-03-01T05:00:03.0000000,0,88,46,4a609aa3-4229-4646-a52c-0d4337097ffa
3,3,2022-03-01T05:00:03.0000000,0,102,29,b256db3c-9e37-49a3-bd6f-3f74b818b70c
3,3,2022-03-01T05:00:03.0000000,0,112,9,7651b0ef-3ac5-4bc5-a1ea-bb57b5880a0f
3,3,2022-03-01T05:00:03.0000000,0,39,49,bc724b8a-ebbb-42d0-8491-6e6988fd5db8
3,3,2022-03-01T05:00:03.0000000,0,49,70,6c26cc3b-0a89-4fa2-8ea5-9e184c60065c
4,4,2022-03-01T05:00:04.0000000,0,108,61,30c51792-291c-4a43-a6c1-9023022e35d5
4,4,2022-03-01T05:00:04.0000000,0,67,78,4d4eccc8-b120-4eda-a576-ab5782f588d1
4,4,2022-03-01T05:00:04.0000000,0,87,46,4a609aa3-4229-4646-a52c-0d4337097ffa
4,4,2022-03-01T05:00:04.0000000,0,102,29,b256db3c-9e37-49a3-bd6f-3f74b818b70c
4,4,2022-03-01T05:00:04.0000000,0,111,9,7651b0ef-3ac5-4bc5-a1ea-bb57b5880a0f
4,4,2022-03-01T05:00:04.0000000,0,40,49,bc724b8a-ebbb-42d0-8491-6e6988fd5db8
4,4,2022-03-01T05:00:04.0000000,0,50,70,6c26cc3b-0a89-4fa2-8ea5-9e184c60065c
5,5,2022-03-01T05:00:05.0000000,0,108,61,30c51792-291c-4a43-a6c1-9023022e35d5
5,5,2022-03-01T05:00:05.0000000,0,67,77,4d4eccc8-b120-4eda-a576-ab5782f588d1
5,5,2022-03-01T05:00:05.0000000,0,86,46,4a609aa3-4229-4646-a52c-0d4337097ffa
5,5,2022-03-01T05:00:05.0000000,0,102,29,b256db3c-9e37-49a3-bd6f-3f74b818b70c
5,5,2022-03-01T05:00:05.0000000,0,110,9,7651b0ef-3ac5-4bc5-a1ea-bb57b5880a0f
5,5,2022-03-01T05:00:05.0000000,0,41,49,bc724b8a-ebbb-42d0-8491-6e6988fd5db8
5,5,2022-03-01T05:00:05.0000000,0,51,70,6c26cc3b-0a89-4fa2-8ea5-9e184c60065c
6,6,2022-03-01T05:00:06.0000000,0,108,61,30c51792-291c-4a43-a6c1-9023022e35d5
6,6,2022-03-01T05:00:06.0000000,0,67,76,4d4eccc8-b120-4eda-a576-ab5782f588d1
6,6,2022-03-01T05:00:06.0000000,0,85,46,4a609aa3-4229-4646-a52c-0d4337097ffa
6,6,2022-03-01T05:00:06.0000000,0,102,29,b256db3c-9e37-49a3-bd6f-3f74b818b70c
6,6,2022-03-01T05:00:06.0000000,0,109,9,7651b0ef-3ac5-4bc5-a1ea-bb57b5880a0f
6,6,2022-03-01T05:00:06.0000000,0,42,49,bc724b8a-ebbb-42d0-8491-6e6988fd5db8
6,6,2022-03-01T05:00:06.0000000,0,52,70,6c26cc3b-0a89-4fa2-8ea5-9e184c60065c
7,7,2022-03-01T05:00:07.0000000,0,108,61,30c51792-291c-4a43-a6c1-9023022e35d5
7,7,2022-03-01T05:00:07.0000000,0,67,75,4d4eccc8-b120-4eda-a576-ab5782f588d1
7,7,2022-03-01T05:00:07.0000000,0,84,46,4a609aa3-4229-4646-a52c-0d4337097ffa
7,7,2022-03-01T05:00:07.0000000,0,102,29,b256db3c-9e37-49a3-bd6f-3f74b818b70c
7,7,2022-03-01T05:00:07.0000000,0,109,10,7651b0ef-3ac5-4bc5-a1ea-bb57b5880a0f
7,7,2022-03-01T05:00:07.0000000,0,43,49,bc724b8a-ebbb-42d0-8491-6e6988fd5db8
7,7,2022-03-01T05:00:07.0000000,0,53,70,6c26cc3b-0a89-4fa2-8ea5-9e184c60065c
