Tick,Step,DateTime,AgentReturningForItem,Aggression,DelayTime,Empathy,EvacueeHasStartedMoving,ForgotAnItem,FoundDistressedAgent,FoundHelp,Health,Helping,IsConscious,IsLeader,LeaderHasReachedExit,Leadership,Mobility,ReachedDistressedAgent,ReturningWithGroupForItem,ReturningWithGroupToHelp,RiskLevel,Strength,X,Y,ID
0,0,2023-10-20T19:32:34.9059220+02:00,False,0,0,0.2442632375657533,False,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,59,59,991635f6-b880-4e02-8586-5cdfa06bbb2d
0,0,2023-10-20T19:32:34.9059220+02:00,False,0,0,0.6968540364833519,False,False,False,False,50,False,True,False,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
0,0,2023-10-20T19:32:34.9059220+02:00,False,0,0,0.7657375652040341,False,False,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,79,34,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
1,1,2023-10-20T19:32:35.9059220+02:00,False,0,0,0.2442632375657533,False,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,59,59,991635f6-b880-4e02-8586-5cdfa06bbb2d
1,1,2023-10-20T19:32:35.9059220+02:00,False,0,0,0.6968540364833519,False,False,False,False,50,False,True,False,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
1,1,2023-10-20T19:32:35.9059220+02:00,False,0,0,0.7657375652040341,False,False,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,79,34,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
2,2,2023-10-20T19:32:36.9059220+02:00,False,0,0,0.2442632375657533,False,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,59,59,991635f6-b880-4e02-8586-5cdfa06bbb2d
2,2,2023-10-20T19:32:36.9059220+02:00,False,0,0,0.6968540364833519,False,False,False,False,50,False,True,False,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
2,2,2023-10-20T19:32:36.9059220+02:00,False,0,0,0.7657375652040341,False,False,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,79,34,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
3,3,2023-10-20T19:32:37.9059220+02:00,False,0,0,0.2442632375657533,False,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,59,59,991635f6-b880-4e02-8586-5cdfa06bbb2d
3,3,2023-10-20T19:32:37.9059220+02:00,False,0,0,0.6968540364833519,False,False,False,False,50,False,True,False,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
3,3,2023-10-20T19:32:37.9059220+02:00,False,0,0,0.7657375652040341,False,False,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,79,34,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
4,4,2023-10-20T19:32:38.9059220+02:00,False,0,0,0.2442632375657533,False,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,59,59,991635f6-b880-4e02-8586-5cdfa06bbb2d
4,4,2023-10-20T19:32:38.9059220+02:00,False,0,0,0.6968540364833519,False,False,False,False,50,False,True,False,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
4,4,2023-10-20T19:32:38.9059220+02:00,False,0,0,0.7657375652040341,False,False,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,79,34,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
5,5,2023-10-20T19:32:39.9059220+02:00,False,0,0,0.2442632375657533,False,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,59,59,991635f6-b880-4e02-8586-5cdfa06bbb2d
5,5,2023-10-20T19:32:39.9059220+02:00,False,0,0,0.6968540364833519,False,False,False,False,50,False,True,False,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
5,5,2023-10-20T19:32:39.9059220+02:00,False,0,0,0.7657375652040341,False,False,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,79,34,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
6,6,2023-10-20T19:32:40.9059220+02:00,False,0,0,0.2442632375657533,False,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,59,59,991635f6-b880-4e02-8586-5cdfa06bbb2d
6,6,2023-10-20T19:32:40.9059220+02:00,False,0,0,0.6968540364833519,False,False,False,False,50,False,True,False,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
6,6,2023-10-20T19:32:40.9059220+02:00,False,0,0,0.7657375652040341,False,False,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,79,34,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
7,7,2023-10-20T19:32:41.9059220+02:00,False,0,0,0.2442632375657533,False,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,59,59,991635f6-b880-4e02-8586-5cdfa06bbb2d
7,7,2023-10-20T19:32:41.9059220+02:00,False,0,0,0.6968540364833519,False,False,False,False,50,False,True,False,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
7,7,2023-10-20T19:32:41.9059220+02:00,False,0,0,0.7657375652040341,False,False,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,79,34,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
8,8,2023-10-20T19:32:42.9059220+02:00,False,0,0,0.2442632375657533,False,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,59,59,991635f6-b880-4e02-8586-5cdfa06bbb2d
8,8,2023-10-20T19:32:42.9059220+02:00,False,0,0,0.6968540364833519,False,False,False,False,50,False,True,False,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
8,8,2023-10-20T19:32:42.9059220+02:00,False,0,0,0.7657375652040341,False,False,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,79,34,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
9,9,2023-10-20T19:32:43.9059220+02:00,False,0,0,0.2442632375657533,False,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,59,59,991635f6-b880-4e02-8586-5cdfa06bbb2d
9,9,2023-10-20T19:32:43.9059220+02:00,False,0,0,0.6968540364833519,False,False,False,False,50,False,True,False,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
9,9,2023-10-20T19:32:43.9059220+02:00,False,0,0,0.7657375652040341,False,False,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,79,34,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
10,10,2023-10-20T19:32:44.9059220+02:00,False,0,0,0.2442632375657533,False,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,59,59,991635f6-b880-4e02-8586-5cdfa06bbb2d
10,10,2023-10-20T19:32:44.9059220+02:00,False,0,0,0.6968540364833519,False,False,False,False,50,False,True,False,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
10,10,2023-10-20T19:32:44.9059220+02:00,False,0,0,0.7657375652040341,False,False,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,79,34,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
11,11,2023-10-20T19:32:45.9059220+02:00,False,0,0,0.2442632375657533,False,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,59,59,991635f6-b880-4e02-8586-5cdfa06bbb2d
11,11,2023-10-20T19:32:45.9059220+02:00,False,0,0,0.6968540364833519,False,False,False,False,50,False,True,False,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
11,11,2023-10-20T19:32:45.9059220+02:00,False,0,0,0.7657375652040341,False,False,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,79,34,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
12,12,2023-10-20T19:32:46.9059220+02:00,False,0,0,0.2442632375657533,False,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,59,59,991635f6-b880-4e02-8586-5cdfa06bbb2d
12,12,2023-10-20T19:32:46.9059220+02:00,False,0,0,0.6968540364833519,False,False,False,False,50,False,True,False,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
12,12,2023-10-20T19:32:46.9059220+02:00,False,0,60,0.7657375652040341,True,True,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,79,34,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
13,13,2023-10-20T19:32:47.9059220+02:00,False,0,0,0.2442632375657533,False,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,59,59,991635f6-b880-4e02-8586-5cdfa06bbb2d
13,13,2023-10-20T19:32:47.9059220+02:00,False,0,0,0.6968540364833519,False,False,False,False,50,False,True,False,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
13,13,2023-10-20T19:32:47.9059220+02:00,False,0,60,0.7657375652040341,True,True,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,79,34,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
14,14,2023-10-20T19:32:48.9059220+02:00,False,0,0,0.2442632375657533,False,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,59,59,991635f6-b880-4e02-8586-5cdfa06bbb2d
14,14,2023-10-20T19:32:48.9059220+02:00,False,0,0,0.6968540364833519,False,False,False,False,50,False,True,False,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
14,14,2023-10-20T19:32:48.9059220+02:00,False,0,60,0.7657375652040341,True,True,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,79,34,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
15,15,2023-10-20T19:32:49.9059220+02:00,False,0,0,0.2442632375657533,True,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,59,59,991635f6-b880-4e02-8586-5cdfa06bbb2d
15,15,2023-10-20T19:32:49.9059220+02:00,False,0,0,0.6968540364833519,False,False,False,False,50,False,True,False,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
15,15,2023-10-20T19:32:49.9059220+02:00,False,0,60,0.7657375652040341,True,True,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,79,34,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
16,16,2023-10-20T19:32:50.9059220+02:00,False,0,0,0.2442632375657533,True,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,59,59,991635f6-b880-4e02-8586-5cdfa06bbb2d
16,16,2023-10-20T19:32:50.9059220+02:00,False,0,0,0.6968540364833519,True,False,False,False,50,False,True,True,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
16,16,2023-10-20T19:32:50.9059220+02:00,False,0,60,0.7657375652040341,True,True,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,78,33,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
17,17,2023-10-20T19:32:51.9059220+02:00,False,0,0,0.2442632375657533,True,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,59,59,991635f6-b880-4e02-8586-5cdfa06bbb2d
17,17,2023-10-20T19:32:51.9059220+02:00,False,0,0,0.6968540364833519,True,False,False,False,50,False,True,True,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
17,17,2023-10-20T19:32:51.9059220+02:00,False,0,60,0.7657375652040341,True,True,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,78,33,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
18,18,2023-10-20T19:32:52.9059220+02:00,False,0,0,0.2442632375657533,True,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,58,60,991635f6-b880-4e02-8586-5cdfa06bbb2d
18,18,2023-10-20T19:32:52.9059220+02:00,False,0,0,0.6968540364833519,True,False,False,False,50,False,True,True,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
18,18,2023-10-20T19:32:52.9059220+02:00,False,0,60,0.7657375652040341,True,True,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,77,32,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
19,19,2023-10-20T19:32:53.9059220+02:00,False,0,0,0.2442632375657533,True,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,58,60,991635f6-b880-4e02-8586-5cdfa06bbb2d
19,19,2023-10-20T19:32:53.9059220+02:00,False,0,0,0.6968540364833519,True,False,False,False,50,False,True,True,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,98,64,7eed3587-db7e-4433-bb91-217dae79ab44
19,19,2023-10-20T19:32:53.9059220+02:00,False,0,60,0.7657375652040341,True,True,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,77,32,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
20,20,2023-10-20T19:32:54.9059220+02:00,False,0,0,0.2442632375657533,True,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,58,61,991635f6-b880-4e02-8586-5cdfa06bbb2d
20,20,2023-10-20T19:32:54.9059220+02:00,False,0,0,0.6968540364833519,True,False,False,False,50,False,True,True,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,97,63,7eed3587-db7e-4433-bb91-217dae79ab44
20,20,2023-10-20T19:32:54.9059220+02:00,False,0,60,0.7657375652040341,True,True,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,77,33,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
21,21,2023-10-20T19:32:55.9059220+02:00,False,0,0,0.2442632375657533,True,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,58,61,991635f6-b880-4e02-8586-5cdfa06bbb2d
21,21,2023-10-20T19:32:55.9059220+02:00,False,0,0,0.6968540364833519,True,False,False,False,50,False,True,True,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,97,63,7eed3587-db7e-4433-bb91-217dae79ab44
21,21,2023-10-20T19:32:55.9059220+02:00,False,0,60,0.7657375652040341,True,True,False,False,68,False,True,False,False,0.3390710953940248,2,False,False,False,11,0.5049913177589016,77,33,3ce6f1b1-8037-4c07-adfb-d919a55fafb0
22,22,2023-10-20T19:32:56.9059220+02:00,False,0,0,0.2442632375657533,True,False,False,False,90,False,True,False,False,0.151225621732324,2,False,False,False,14,0.4104280736564567,58,62,991635f6-b880-4e02-8586-5cdfa06bbb2d
22,22,2023-10-20T19:32:56.9059220+02:00,False,0,0,0.6968540364833519,True,False,False,False,50,False,True,True,False,0.9613159139201225,2,False,False,False,15,0.13192253737932869,96,62,7eed3587-db7e-4433-bb91-217dae79ab44
