Tick,Step,DateTime,AgentReturningForItem,Aggression,DelayTime,Empathy,EvacueeHasStartedMoving,ForgotAnItem,FoundDistressedAgent,FoundHelp,Health,Helping,IsConscious,IsLeader,LeaderHasReachedExit,Leadership,Mobility,ReachedDistressedAgent,ReturningWithGroupForItem,ReturningWithGroupToHelp,RiskLevel,Strength,X,Y,ID
0,0,2023-10-20T19:32:34.9059220+02:00,False,2,0,0.0025164815485021474,False,False,False,False,92,False,True,False,False,0.025723923955235595,2,False,False,False,13,0.23093801262030567,93,53,05375701-6882-4054-a4d6-c86176a81f1a
0,0,2023-10-20T19:32:34.9059220+02:00,False,2,0,0.9853028842318086,False,False,False,False,67,False,True,False,False,0.8030253942068298,2,False,False,False,10,0.011518073067561474,117,27,e24dc12f-0635-492a-b962-cea0eb8110ac
0,0,2023-10-20T19:32:34.9059220+02:00,False,2,0,0.816649922280659,False,False,False,False,72,False,True,False,False,0.42527112407251555,2,False,False,False,12,0.12756886214079044,35,46,766438f7-30e9-42f9-846f-b3eb601e28de
0,0,2023-10-20T19:32:34.9059220+02:00,False,2,0,0.6809103147742241,False,False,False,False,72,False,True,False,False,0.616989586307015,2,False,False,False,10,0.08915868814713057,65,50,ddb541e7-053b-43b2-9c08-198210f7ce16
0,0,2023-10-20T19:32:34.9059220+02:00,False,2,0,0.2687595836996506,False,False,False,False,86,False,True,False,False,0.30997211861165863,2,False,False,False,13,0.9073994123760941,21,81,e77680ae-7a9b-4358-8081-efbace1a475d
1,1,2023-10-20T19:32:35.9059220+02:00,False,2,0,0.0025164815485021474,False,False,False,False,92,False,True,False,False,0.025723923955235595,2,False,False,False,13,0.23093801262030567,93,53,05375701-6882-4054-a4d6-c86176a81f1a
1,1,2023-10-20T19:32:35.9059220+02:00,False,2,0,0.9853028842318086,False,False,False,False,67,False,True,False,False,0.8030253942068298,2,False,False,False,10,0.011518073067561474,117,27,e24dc12f-0635-492a-b962-cea0eb8110ac
1,1,2023-10-20T19:32:35.9059220+02:00,False,2,0,0.816649922280659,False,False,False,False,72,False,True,False,False,0.42527112407251555,2,False,False,False,12,0.12756886214079044,35,46,766438f7-30e9-42f9-846f-b3eb601e28de
1,1,2023-10-20T19:32:35.9059220+02:00,False,2,0,0.6809103147742241,False,False,False,False,72,False,True,False,False,0.616989586307015,2,False,False,False,10,0.08915868814713057,65,50,ddb541e7-053b-43b2-9c08-198210f7ce16
1,1,2023-10-20T19:32:35.9059220+02:00,False,2,0,0.2687595836996506,False,False,False,False,86,False,True,False,False,0.30997211861165863,2,False,False,False,13,0.9073994123760941,21,81,e77680ae-7a9b-4358-8081-efbace1a475d
2,2,2023-10-20T19:32:36.9059220+02:00,False,2,0,0.0025164815485021474,False,False,False,False,92,False,True,False,False,0.025723923955235595,2,False,False,False,13,0.23093801262030567,93,53,05375701-6882-4054-a4d6-c86176a81f1a
2,2,2023-10-20T19:32:36.9059220+02:00,False,2,0,0.9853028842318086,False,False,False,False,67,False,True,False,False,0.8030253942068298,2,False,False,False,10,0.011518073067561474,117,27,e24dc12f-0635-492a-b962-cea0eb8110ac
2,2,2023-10-20T19:32:36.9059220+02:00,False,2,0,0.816649922280659,False,False,False,False,72,False,True,False,False,0.42527112407251555,2,False,False,False,12,0.12756886214079044,35,46,766438f7-30e9-42f9-846f-b3eb601e28de
2,2,2023-10-20T19:32:36.9059220+02:00,False,2,0,0.6809103147742241,False,False,False,False,72,False,True,False,False,0.616989586307015,2,False,False,False,10,0.08915868814713057,65,50,ddb541e7-053b-43b2-9c08-198210f7ce16
2,2,2023-10-20T19:32:36.9059220+02:00,False,2,0,0.2687595836996506,False,False,False,False,86,False,True,False,False,0.30997211861165863,2,False,False,False,13,0.9073994123760941,21,81,e77680ae-7a9b-4358-8081-efbace1a475d
3,3,2023-10-20T19:32:37.9059220+02:00,False,2,0,0.0025164815485021474,False,False,False,False,92,False,True,False,False,0.025723923955235595,2,False,False,False,13,0.23093801262030567,93,53,05375701-6882-4054-a4d6-c86176a81f1a
3,3,2023-10-20T19:32:37.9059220+02:00,False,2,0,0.9853028842318086,False,False,False,False,67,False,True,False,False,0.8030253942068298,2,False,False,False,10,0.011518073067561474,117,27,e24dc12f-0635-492a-b962-cea0eb8110ac
3,3,2023-10-20T19:32:37.9059220+02:00,False,2,0,0.816649922280659,False,False,False,False,72,False,True,False,False,0.42527112407251555,2,False,False,False,12,0.12756886214079044,35,46,766438f7-30e9-42f9-846f-b3eb601e28de
3,3,2023-10-20T19:32:37.9059220+02:00,False,2,0,0.6809103147742241,False,False,False,False,72,False,True,False,False,0.616989586307015,2,False,False,False,10,0.08915868814713057,65,50,ddb541e7-053b-43b2-9c08-198210f7ce16
3,3,2023-10-20T19:32:37.9059220+02:00,False,2,0,0.2687595836996506,False,False,False,False,86,False,True,False,False,0.30997211861165863,2,False,False,False,13,0.9073994123760941,21,81,e77680ae-7a9b-4358-8081-efbace1a475d
4,4,2023-10-20T19:32:38.9059220+02:00,False,2,0,0.0025164815485021474,False,False,False,False,92,False,True,False,False,0.025723923955235595,2,False,False,False,13,0.23093801262030567,93,53,05375701-6882-4054-a4d6-c86176a81f1a
4,4,2023-10-20T19:32:38.9059220+02:00,False,2,0,0.9853028842318086,False,False,False,False,67,False,True,False,False,0.8030253942068298,2,False,False,False,10,0.011518073067561474,117,27,e24dc12f-0635-492a-b962-cea0eb8110ac
4,4,2023-10-20T19:32:38.9059220+02:00,False,2,0,0.816649922280659,False,False,False,False,72,False,True,False,False,0.42527112407251555,2,False,False,False,12,0.12756886214079044,35,46,766438f7-30e9-42f9-846f-b3eb601e28de
4,4,2023-10-20T19:32:38.9059220+02:00,False,2,0,0.6809103147742241,False,False,False,False,72,False,True,False,False,0.616989586307015,2,False,False,False,10,0.08915868814713057,65,50,ddb541e7-053b-43b2-9c08-198210f7ce16
4,4,2023-10-20T19:32:38.9059220+02:00,False,2,0,0.2687595836996506,False,False,False,False,86,False,True,False,False,0.30997211861165863,2,False,False,False,13,0.9073994123760941,21,81,e77680ae-7a9b-4358-8081-efbace1a475d
5,5,2023-10-20T19:32:39.9059220+02:00,False,2,0,0.0025164815485021474,False,False,False,False,92,False,True,False,False,0.025723923955235595,2,False,False,False,13,0.23093801262030567,93,53,05375701-6882-4054-a4d6-c86176a81f1a
5,5,2023-10-20T19:32:39.9059220+02:00,False,2,0,0.9853028842318086,False,False,False,False,67,False,True,False,False,0.8030253942068298,2,False,False,False,10,0.011518073067561474,117,27,e24dc12f-0635-492a-b962-cea0eb8110ac
5,5,2023-10-20T19:32:39.9059220+02:00,False,2,0,0.816649922280659,False,False,False,False,72,False,True,False,False,0.42527112407251555,2,False,False,False,12,0.12756886214079044,35,46,766438f7-30e9-42f9-846f-b3eb601e28de
5,5,2023-10-20T19:32:39.9059220+02:00,False,2,0,0.6809103147742241,False,False,False,False,72,False,True,False,False,0.616989586307015,2,False,False,False,10,0.08915868814713057,65,50,ddb541e7-053b-43b2-9c08-198210f7ce16
5,5,2023-10-20T19:32:39.9059220+02:00,False,2,0,0.2687595836996506,False,False,False,False,86,False,True,False,False,0.30997211861165863,2,False,False,False,13,0.9073994123760941,21,81,e77680ae-7a9b-4358-8081-efbace1a475d
6,6,2023-10-20T19:32:40.9059220+02:00,False,2,0,0.0025164815485021474,False,False,False,False,92,False,True,False,False,0.025723923955235595,2,False,False,False,13,0.23093801262030567,93,53,05375701-6882-4054-a4d6-c86176a81f1a
6,6,2023-10-20T19:32:40.9059220+02:00,False,2,0,0.9853028842318086,False,False,False,False,67,False,True,False,False,0.8030253942068298,2,False,False,False,10,0.011518073067561474,117,27,e24dc12f-0635-492a-b962-cea0eb8110ac
6,6,2023-10-20T19:32:40.9059220+02:00,False,2,0,0.816649922280659,False,False,False,False,72,False,True,False,False,0.42527112407251555,2,False,False,False,12,0.12756886214079044,35,46,766438f7-30e9-42f9-846f-b3eb601e28de
6,6,2023-10-20T19:32:40.9059220+02:00,False,2,0,0.6809103147742241,False,False,False,False,72,False,True,False,False,0.616989586307015,2,False,False,False,10,0.08915868814713057,65,50,ddb541e7-053b-43b2-9c08-198210f7ce16
6,6,2023-10-20T19:32:40.9059220+02:00,False,2,0,0.2687595836996506,False,False,False,False,86,False,True,False,False,0.30997211861165863,2,False,False,False,13,0.9073994123760941,21,81,e77680ae-7a9b-4358-8081-efbace1a475d
7,7,2023-10-20T19:32:41.9059220+02:00,False,2,0,0.0025164815485021474,False,False,False,False,92,False,True,False,False,0.025723923955235595,2,False,False,False,13,0.23093801262030567,93,53,05375701-6882-4054-a4d6-c86176a81f1a
7,7,2023-10-20T19:32:41.9059220+02:00,False,2,0,0.9853028842318086,False,False,False,False,67,False,True,False,False,0.8030253942068298,2,False,False,False,10,0.011518073067561474,117,27,e24dc12f-0635-492a-b962-cea0eb8110ac
7,7,2023-10-20T19:32:41.9059220+02:00,False,2,0,0.816649922280659,False,False,False,False,72,False,True,False,False,0.42527112407251555,2,False,False,False,12,0.12756886214079044,35,46,766438f7-30e9-42f9-846f-b3eb601e28de
7,7,2023-10-20T19:32:41.9059220+02:00,False,2,0,0.6809103147742241,False,False,False,False,72,False,True,False,False,0.616989586307015,2,False,False,False,10,0.08915868814713057,65,50,ddb541e7-053b-43b2-9c08-198210f7ce16
7,7,2023-10-20T19:32:41.9059220+02:00,False,2,0,0.2687595836996506,False,False,False,False,86,False,True,False,False,0.30997211861165863,2,False,False,False,13,0.9073994123760941,21,81,e77680ae-7a9b-4358-8081-efbace1a475d
8,8,2023-10-20T19:32:42.9059220+02:00,False,2,0,0.0025164815485021474,False,False,False,False,92,False,True,False,False,0.025723923955235595,2,False,False,False,13,0.23093801262030567,93,53,05375701-6882-4054-a4d6-c86176a81f1a
