Tick,Step,DateTime,MaxTripDistance,X,Y,ID
0,0,2022-03-01T05:00:00.0000000,0,36,64,ef1f87fe-6341-44f5-baae-0b08d7f57201
0,0,2022-03-01T05:00:00.0000000,0,88,71,65b5ca01-5e41-474d-8380-b934b9503bea
0,0,2022-03-01T05:00:00.0000000,0,27,84,097c0ad3-9078-4079-b790-804421145964
0,0,2022-03-01T05:00:00.0000000,0,79,35,f914a213-5555-4a7e-ad6f-18afc3898140
0,0,2022-03-01T05:00:00.0000000,0,30,68,5748d03d-0615-4726-9178-4f0b15d03d9c
0,0,2022-03-01T05:00:00.0000000,0,77,9,84fe29f3-90d9-447c-a006-5c6df84a0f78
0,0,2022-03-01T05:00:00.0000000,0,50,18,5ac48bf3-229c-459f-9fd3-e262b278bbc4
0,0,2022-03-01T05:00:00.0000000,0,26,70,1e0e75dc-07f8-4afc-a573-d14206c280e7
0,0,2022-03-01T05:00:00.0000000,0,92,69,97e960d6-aeb8-45b1-a3fe-10e195e520fa
0,0,2022-03-01T05:00:00.0000000,0,76,18,1ddbcde1-1cba-404d-a2b9-f115007d6e53
1,1,2022-03-01T05:00:01.0000000,0,36,63,ef1f87fe-6341-44f5-baae-0b08d7f57201
1,1,2022-03-01T05:00:01.0000000,0,88,71,65b5ca01-5e41-474d-8380-b934b9503bea
1,1,2022-03-01T05:00:01.0000000,0,27,84,097c0ad3-9078-4079-b790-804421145964
1,1,2022-03-01T05:00:01.0000000,0,79,35,f914a213-5555-4a7e-ad6f-18afc3898140
1,1,2022-03-01T05:00:01.0000000,0,31,69,5748d03d-0615-4726-9178-4f0b15d03d9c
1,1,2022-03-01T05:00:01.0000000,0,77,9,84fe29f3-90d9-447c-a006-5c6df84a0f78
1,1,2022-03-01T05:00:01.0000000,0,50,18,5ac48bf3-229c-459f-9fd3-e262b278bbc4
1,1,2022-03-01T05:00:01.0000000,0,25,70,1e0e75dc-07f8-4afc-a573-d14206c280e7
1,1,2022-03-01T05:00:01.0000000,0,92,69,97e960d6-aeb8-45b1-a3fe-10e195e520fa
1,1,2022-03-01T05:00:01.0000000,0,75,18,1ddbcde1-1cba-404d-a2b9-f115007d6e53
2,2,2022-03-01T05:00:02.0000000,0,36,63,ef1f87fe-6341-44f5-baae-0b08d7f57201
2,2,2022-03-01T05:00:02.0000000,0,87,70,65b5ca01-5e41-474d-8380-b934b9503bea
2,2,2022-03-01T05:00:02.0000000,0,28,83,097c0ad3-9078-4079-b790-804421145964
2,2,2022-03-01T05:00:02.0000000,0,78,34,f914a213-5555-4a7e-ad6f-18afc3898140
2,2,2022-03-01T05:00:02.0000000,0,31,69,5748d03d-0615-4726-9178-4f0b15d03d9c
2,2,2022-03-01T05:00:02.0000000,0,77,9,84fe29f3-90d9-447c-a006-5c6df84a0f78
2,2,2022-03-01T05:00:02.0000000,0,51,17,5ac48bf3-229c-459f-9fd3-e262b278bbc4
2,2,2022-03-01T05:00:02.0000000,0,25,70,1e0e75dc-07f8-4afc-a573-d14206c280e7
2,2,2022-03-01T05:00:02.0000000,0,91,70,97e960d6-aeb8-45b1-a3fe-10e195e520fa
2,2,2022-03-01T05:00:02.0000000,0,75,18,1ddbcde1-1cba-404d-a2b9-f115007d6e53
3,3,2022-03-01T05:00:03.0000000,0,37,64,ef1f87fe-6341-44f5-baae-0b08d7f57201
3,3,2022-03-01T05:00:03.0000000,0,86,70,65b5ca01-5e41-474d-8380-b934b9503bea
3,3,2022-03-01T05:00:03.0000000,0,29,83,097c0ad3-9078-4079-b790-804421145964
3,3,2022-03-01T05:00:03.0000000,0,77,33,f914a213-5555-4a7e-ad6f-18afc3898140
3,3,2022-03-01T05:00:03.0000000,0,31,69,5748d03d-0615-4726-9178-4f0b15d03d9c
3,3,2022-03-01T05:00:03.0000000,0,77,8,84fe29f3-90d9-447c-a006-5c6df84a0f78
3,3,2022-03-01T05:00:03.0000000,0,50,17,5ac48bf3-229c-459f-9fd3-e262b278bbc4
3,3,2022-03-01T05:00:03.0000000,0,26,70,1e0e75dc-07f8-4afc-a573-d14206c280e7
3,3,2022-03-01T05:00:03.0000000,0,91,69,97e960d6-aeb8-45b1-a3fe-10e195e520fa
3,3,2022-03-01T05:00:03.0000000,0,75,18,1ddbcde1-1cba-404d-a2b9-f115007d6e53
4,4,2022-03-01T05:00:04.0000000,0,38,65,ef1f87fe-6341-44f5-baae-0b08d7f57201
4,4,2022-03-01T05:00:04.0000000,0,85,70,65b5ca01-5e41-474d-8380-b934b9503bea
4,4,2022-03-01T05:00:04.0000000,0,30,83,097c0ad3-9078-4079-b790-804421145964
4,4,2022-03-01T05:00:04.0000000,0,77,32,f914a213-5555-4a7e-ad6f-18afc3898140
4,4,2022-03-01T05:00:04.0000000,0,31,69,5748d03d-0615-4726-9178-4f0b15d03d9c
4,4,2022-03-01T05:00:04.0000000,0,76,7,84fe29f3-90d9-447c-a006-5c6df84a0f78
4,4,2022-03-01T05:00:04.0000000,0,50,16,5ac48bf3-229c-459f-9fd3-e262b278bbc4
4,4,2022-03-01T05:00:04.0000000,0,27,70,1e0e75dc-07f8-4afc-a573-d14206c280e7
4,4,2022-03-01T05:00:04.0000000,0,90,69,97e960d6-aeb8-45b1-a3fe-10e195e520fa
4,4,2022-03-01T05:00:04.0000000,0,75,18,1ddbcde1-1cba-404d-a2b9-f115007d6e53
5,5,2022-03-01T05:00:05.0000000,0,39,66,ef1f87fe-6341-44f5-baae-0b08d7f57201
