Tick,Step,DateTime,AgentReturningForItem,Aggression,DelayTime,Empathy,EvacueeHasStartedMoving,ForgotAnItem,FoundDistressedAgent,FoundHelp,Health,Helping,IsConscious,IsLeader,LeaderHasReachedExit,Leadership,Mobility,ReachedDistressedAgent,ReturningWithGroupForItem,ReturningWithGroupToHelp,RiskLevel,Strength,X,Y,ID
0,0,2023-10-20T19:32:34.9059220+02:00,False,0,0,0.6642280236566378,False,False,False,False,78,False,True,False,False,0.38077391237889835,1,False,False,False,1,0.7283920908755216,27,53,22b613b2-752f-4d0f-aff8-8c7190f052d4
0,0,2023-10-20T19:32:34.9059220+02:00,False,0,0,0.01295328445207844,False,False,False,False,80,False,True,False,False,0.9611429901088447,1,False,False,False,4,0.32299150699961,75,37,d4717a0d-e16d-4a3c-b3fa-35edd1bf16b7
0,0,2023-10-20T19:32:34.9059220+02:00,False,0,0,0.715651317061217,False,False,False,False,92,False,True,False,False,0.7551332752056996,1,False,False,False,5,0.49120523439082464,84,76,506c3616-3124-4585-b8d8-11dc0c9ae91f
0,0,2023-10-20T19:32:34.9059220+02:00,False,0,0,0.30162185598526103,False,False,False,False,77,False,True,False,False,0.670515365282885,1,False,False,False,4,0.4363209644491134,44,47,a02ecab5-0271-43f6-810d-dfdf1a3a5d16
0,0,2023-10-20T19:32:34.9059220+02:00,False,0,0,0.24662358314011934,False,False,False,False,98,False,True,False,False,0.3387944168316056,1,False,False,False,3,0.9116405168306607,25,84,51b47b0e-a7cb-4d64-8c5f-3c6091b75117
0,0,2023-10-20T19:32:34.9059220+02:00,False,0,0,0.5904050168885886,False,False,False,False,80,False,True,False,False,0.06093150161920091,1,False,False,False,2,0.7412568174223331,72,8,a8dcbde9-3ead-4557-b759-3acec23a5600
1,1,2023-10-20T19:32:35.9059220+02:00,False,0,0,0.6642280236566378,True,False,False,False,78,False,True,False,False,0.38077391237889835,1,False,False,False,1,0.7283920908755216,27,53,22b613b2-752f-4d0f-aff8-8c7190f052d4
1,1,2023-10-20T19:32:35.9059220+02:00,False,0,0,0.01295328445207844,False,False,False,False,80,False,True,False,False,0.9611429901088447,1,False,False,False,4,0.32299150699961,75,37,d4717a0d-e16d-4a3c-b3fa-35edd1bf16b7
1,1,2023-10-20T19:32:35.9059220+02:00,False,0,0,0.715651317061217,False,False,False,False,92,False,True,False,False,0.7551332752056996,1,False,False,False,5,0.49120523439082464,84,76,506c3616-3124-4585-b8d8-11dc0c9ae91f
1,1,2023-10-20T19:32:35.9059220+02:00,False,0,0,0.30162185598526103,False,False,False,False,77,False,True,False,False,0.670515365282885,1,False,False,False,4,0.4363209644491134,44,47,a02ecab5-0271-43f6-810d-dfdf1a3a5d16
