Tick,Step,DateTime,MaxTripDistance,X,Y,ID
0,0,2022-03-01T05:00:00.0000000,0,63,78,168ad561-3ed5-4771-8298-f2c13b37f859
0,0,2022-03-01T05:00:00.0000000,0,96,8,2d9777ad-9681-4881-a2bc-86f12580c6ac
0,0,2022-03-01T05:00:00.0000000,0,55,21,f56a3477-193c-453c-b76a-bc4365783a1d
1,1,2022-03-01T05:00:01.0000000,0,63,78,168ad561-3ed5-4771-8298-f2c13b37f859
1,1,2022-03-01T05:00:01.0000000,0,96,8,2d9777ad-9681-4881-a2bc-86f12580c6ac
1,1,2022-03-01T05:00:01.0000000,0,55,21,f56a3477-193c-453c-b76a-bc4365783a1d
2,2,2022-03-01T05:00:02.0000000,0,62,77,168ad561-3ed5-4771-8298-f2c13b37f859
2,2,2022-03-01T05:00:02.0000000,0,95,9,2d9777ad-9681-4881-a2bc-86f12580c6ac
2,2,2022-03-01T05:00:02.0000000,0,54,20,f56a3477-193c-453c-b76a-bc4365783a1d
3,3,2022-03-01T05:00:03.0000000,0,61,76,168ad561-3ed5-4771-8298-f2c13b37f859
3,3,2022-03-01T05:00:03.0000000,0,95,10,2d9777ad-9681-4881-a2bc-86f12580c6ac
3,3,2022-03-01T05:00:03.0000000,0,53,19,f56a3477-193c-453c-b76a-bc4365783a1d
4,4,2022-03-01T05:00:04.0000000,0,61,77,168ad561-3ed5-4771-8298-f2c13b37f859
4,4,2022-03-01T05:00:04.0000000,0,94,9,2d9777ad-9681-4881-a2bc-86f12580c6ac
4,4,2022-03-01T05:00:04.0000000,0,53,18,f56a3477-193c-453c-b76a-bc4365783a1d
5,5,2022-03-01T05:00:05.0000000,0,61,78,168ad561-3ed5-4771-8298-f2c13b37f859
5,5,2022-03-01T05:00:05.0000000,0,94,8,2d9777ad-9681-4881-a2bc-86f12580c6ac
5,5,2022-03-01T05:00:05.0000000,0,52,17,f56a3477-193c-453c-b76a-bc4365783a1d
6,6,2022-03-01T05:00:06.0000000,0,62,79,168ad561-3ed5-4771-8298-f2c13b37f859
6,6,2022-03-01T05:00:06.0000000,0,93,8,2d9777ad-9681-4881-a2bc-86f12580c6ac
6,6,2022-03-01T05:00:06.0000000,0,52,18,f56a3477-193c-453c-b76a-bc4365783a1d
