Tick,Step,DateTime,MaxTripDistance,X,Y,ID
0,0,2022-03-01T05:00:00.0000000,0,44,21,4c169b2e-cfbc-499f-917d-702be0323846
0,0,2022-03-01T05:00:00.0000000,0,14,48,22b6e98e-7b6a-43ee-a52f-a3f5c055fc9b
0,0,2022-03-01T05:00:00.0000000,0,47,12,dd019e0b-56df-49b7-85d5-3152c3b3aeda
0,0,2022-03-01T05:00:00.0000000,0,116,55,cbab0028-bac6-44cf-94eb-301074c2ddae
1,1,2022-03-01T05:00:01.0000000,0,44,21,4c169b2e-cfbc-499f-917d-702be0323846
1,1,2022-03-01T05:00:01.0000000,0,14,48,22b6e98e-7b6a-43ee-a52f-a3f5c055fc9b
1,1,2022-03-01T05:00:01.0000000,0,47,12,dd019e0b-56df-49b7-85d5-3152c3b3aeda
1,1,2022-03-01T05:00:01.0000000,0,116,55,cbab0028-bac6-44cf-94eb-301074c2ddae
2,2,2022-03-01T05:00:02.0000000,0,15,49,22b6e98e-7b6a-43ee-a52f-a3f5c055fc9b
2,2,2022-03-01T05:00:02.0000000,0,47,12,dd019e0b-56df-49b7-85d5-3152c3b3aeda
3,3,2022-03-01T05:00:03.0000000,0,47,12,dd019e0b-56df-49b7-85d5-3152c3b3aeda
4,4,2022-03-01T05:00:04.0000000,0,47,12,dd019e0b-56df-49b7-85d5-3152c3b3aeda
5,5,2022-03-01T05:00:05.0000000,0,47,12,dd019e0b-56df-49b7-85d5-3152c3b3aeda
6,6,2022-03-01T05:00:06.0000000,0,47,12,dd019e0b-56df-49b7-85d5-3152c3b3aeda
