Tick,Step,DateTime,MaxTripDistance,X,Y,ID
0,0,2022-03-01T05:00:00.0000000,0,77,5,e75abda5-bdcb-43d6-b8a1-a1fd2d36c2ad
0,0,2022-03-01T05:00:00.0000000,0,103,70,cd1b8d95-5e7b-454e-9d5f-2389bf0aae65
0,0,2022-03-01T05:00:00.0000000,0,72,49,a7b0ccb2-21f0-47b5-886d-66100fe9164f
0,0,2022-03-01T05:00:00.0000000,0,51,84,79b689ef-4622-4aeb-b601-6cda1aaeb4b9
1,1,2022-03-01T05:00:01.0000000,0,77,5,e75abda5-bdcb-43d6-b8a1-a1fd2d36c2ad
1,1,2022-03-01T05:00:01.0000000,0,103,70,cd1b8d95-5e7b-454e-9d5f-2389bf0aae65
1,1,2022-03-01T05:00:01.0000000,0,72,49,a7b0ccb2-21f0-47b5-886d-66100fe9164f
1,1,2022-03-01T05:00:01.0000000,0,51,84,79b689ef-4622-4aeb-b601-6cda1aaeb4b9
2,2,2022-03-01T05:00:02.0000000,0,103,70,cd1b8d95-5e7b-454e-9d5f-2389bf0aae65
3,3,2022-03-01T05:00:03.0000000,0,103,70,cd1b8d95-5e7b-454e-9d5f-2389bf0aae65
4,4,2022-03-01T05:00:04.0000000,0,103,70,cd1b8d95-5e7b-454e-9d5f-2389bf0aae65
5,5,2022-03-01T05:00:05.0000000,0,103,70,cd1b8d95-5e7b-454e-9d5f-2389bf0aae65
6,6,2022-03-01T05:00:06.0000000,0,103,70,cd1b8d95-5e7b-454e-9d5f-2389bf0aae65
7,7,2022-03-01T05:00:07.0000000,0,103,70,cd1b8d95-5e7b-454e-9d5f-2389bf0aae65
