Tick,Step,DateTime,MaxTripDistance,X,Y,ID
0,0,2022-03-01T05:00:00.0000000,0,65,43,4778395f-1187-427a-a2cd-26f0e8b13a27
0,0,2022-03-01T05:00:00.0000000,0,77,66,a5f0362e-d625-43a0-9148-928611542638
0,0,2022-03-01T05:00:00.0000000,0,54,46,b2a317b5-20cb-4420-955a-79a47a243325
0,0,2022-03-01T05:00:00.0000000,0,84,41,e0d1e50f-ffca-4de4-9cc8-c45fdaf3f8e1
0,0,2022-03-01T05:00:00.0000000,0,106,85,0712b234-1f01-4b87-b126-cc1763dd0913
0,0,2022-03-01T05:00:00.0000000,0,108,56,ca03462d-73e9-4f35-bf6e-3495eb63bd5c
1,1,2022-03-01T05:00:01.0000000,0,65,43,4778395f-1187-427a-a2cd-26f0e8b13a27
1,1,2022-03-01T05:00:01.0000000,0,76,67,a5f0362e-d625-43a0-9148-928611542638
1,1,2022-03-01T05:00:01.0000000,0,54,46,b2a317b5-20cb-4420-955a-79a47a243325
1,1,2022-03-01T05:00:01.0000000,0,84,41,e0d1e50f-ffca-4de4-9cc8-c45fdaf3f8e1
1,1,2022-03-01T05:00:01.0000000,0,106,85,0712b234-1f01-4b87-b126-cc1763dd0913
1,1,2022-03-01T05:00:01.0000000,0,108,56,ca03462d-73e9-4f35-bf6e-3495eb63bd5c
2,2,2022-03-01T05:00:02.0000000,0,76,67,a5f0362e-d625-43a0-9148-928611542638
2,2,2022-03-01T05:00:02.0000000,0,107,85,0712b234-1f01-4b87-b126-cc1763dd0913
3,3,2022-03-01T05:00:03.0000000,0,75,68,a5f0362e-d625-43a0-9148-928611542638
