Tick,Step,DateTime,MaxTripDistance,X,Y,ID
0,0,2022-03-01T05:00:00.0000000,0,41,68,184efbac-dea0-4169-b8c8-7aa744d26f31
0,0,2022-03-01T05:00:00.0000000,0,69,54,b76e7101-f83c-4d4c-86f8-0f17292ad83d
0,0,2022-03-01T05:00:00.0000000,0,21,62,e8297647-327e-4dbb-bc9d-ed96f82c4641
0,0,2022-03-01T05:00:00.0000000,0,93,68,dd570dc0-1cb0-452d-af2e-f7be8dcc6c3a
1,1,2022-03-01T05:00:01.0000000,0,42,67,184efbac-dea0-4169-b8c8-7aa744d26f31
1,1,2022-03-01T05:00:01.0000000,0,69,54,b76e7101-f83c-4d4c-86f8-0f17292ad83d
1,1,2022-03-01T05:00:01.0000000,0,21,62,e8297647-327e-4dbb-bc9d-ed96f82c4641
1,1,2022-03-01T05:00:01.0000000,0,94,67,dd570dc0-1cb0-452d-af2e-f7be8dcc6c3a
2,2,2022-03-01T05:00:02.0000000,0,42,67,184efbac-dea0-4169-b8c8-7aa744d26f31
2,2,2022-03-01T05:00:02.0000000,0,69,54,b76e7101-f83c-4d4c-86f8-0f17292ad83d
2,2,2022-03-01T05:00:02.0000000,0,22,63,e8297647-327e-4dbb-bc9d-ed96f82c4641
2,2,2022-03-01T05:00:02.0000000,0,94,67,dd570dc0-1cb0-452d-af2e-f7be8dcc6c3a
3,3,2022-03-01T05:00:03.0000000,0,43,68,184efbac-dea0-4169-b8c8-7aa744d26f31
3,3,2022-03-01T05:00:03.0000000,0,69,54,b76e7101-f83c-4d4c-86f8-0f17292ad83d
3,3,2022-03-01T05:00:03.0000000,0,23,64,e8297647-327e-4dbb-bc9d-ed96f82c4641
3,3,2022-03-01T05:00:03.0000000,0,93,68,dd570dc0-1cb0-452d-af2e-f7be8dcc6c3a
4,4,2022-03-01T05:00:04.0000000,0,44,69,184efbac-dea0-4169-b8c8-7aa744d26f31
4,4,2022-03-01T05:00:04.0000000,0,69,54,b76e7101-f83c-4d4c-86f8-0f17292ad83d
4,4,2022-03-01T05:00:04.0000000,0,24,65,e8297647-327e-4dbb-bc9d-ed96f82c4641
4,4,2022-03-01T05:00:04.0000000,0,92,69,dd570dc0-1cb0-452d-af2e-f7be8dcc6c3a
5,5,2022-03-01T05:00:05.0000000,0,45,69,184efbac-dea0-4169-b8c8-7aa744d26f31
5,5,2022-03-01T05:00:05.0000000,0,69,54,b76e7101-f83c-4d4c-86f8-0f17292ad83d
5,5,2022-03-01T05:00:05.0000000,0,25,66,e8297647-327e-4dbb-bc9d-ed96f82c4641
5,5,2022-03-01T05:00:05.0000000,0,91,70,dd570dc0-1cb0-452d-af2e-f7be8dcc6c3a
6,6,2022-03-01T05:00:06.0000000,0,46,69,184efbac-dea0-4169-b8c8-7aa744d26f31
6,6,2022-03-01T05:00:06.0000000,0,69,54,b76e7101-f83c-4d4c-86f8-0f17292ad83d
6,6,2022-03-01T05:00:06.0000000,0,26,67,e8297647-327e-4dbb-bc9d-ed96f82c4641
6,6,2022-03-01T05:00:06.0000000,0,91,69,dd570dc0-1cb0-452d-af2e-f7be8dcc6c3a
